Competitor,Category,Target Buyer,Deployment,Key Features,Pricing Range,Market Maturity,Evidence Date,India Presence,SoterAI Advantage,SoterAI Disadvantage,Verdict
"Lakera (acquired by Check Point)","AI runtime security","Developer, CISO","SaaS, self-hosted","Prompt injection, jailbreak, PII, MCP, red team, 100+ languages","Free (10K req/mo) -> Enterprise ~$50K+/yr","Growth (acquired by CP)","2026-07","No (EU/US hosting)","Open-source, India PII, self-hosted","Distribution, latency, FPR, SOC2, logos","Strongest direct competitor"
"Prompt Security (acquired by SentinelOne)","GenAI governance","CISO","SaaS + browser extension","Browser DLP, shadow AI, runtime protection, GenAI governance","Free -> Standard $600/yr -> Enterprise $20-80K/yr","Growth (acquired by S1)","2026-07","No","IDE security, open-source, agent security","Browser distribution (200K users), enterprise readiness","Strong browser competitor"
"Cyberhaven","AI DLP + data security","CISO","Endpoint + browser","Data lineage, policyless DLP, AI shadow discovery, DSPM, IRM","Enterprise ~$38K median ($30-194K/yr)","Growth","2026-07","No","Open-source, India PII, pricing","Enterprise maturity, data lineage, brand","Different market (DLP vs runtime)"
"Protect AI (acquired by Palo Alto)","MLSecOps","ML engineer, CISO","SaaS, self-hosted","Model scanning (35 formats), CI/CD integration, huntr community","Free OSS -> Enterprise $25-100K+/yr","Growth (acquired by PAN)","2026-07","No","Open-source, broader runtime coverage","Model security depth, Palo Alto channel","Different focus (model vs runtime)"
"Cloudflare AI Gateway","AI gateway","Developer","Edge network","Rate limiting, observability, model routing, fallback","Included in Workers plans","Mature (Cloudflare)","2026-07","Yes (global edge)","Open-source, IDE, browser, agent security","Latency, edge distribution, brand trust","Platform threat (bundled)"
"HiddenLayer","ML detection & response","Security team","SaaS, self-hosted","ML model attack detection, adversarial ML, model scanning","Free -> Enterprise","Growth","2026-07","No","Broader scope (LLM + agents)","ML-specific depth","Niche competitor"
"Guardrails AI","LLM guardrails","Developer","Framework/library","Output validation, guardrails, structured generation","Open-source -> Enterprise","Growth","2026-07","No","Feature breadth, self-hosted","Guardrails' structured output niche","Different paradigm (framework)"
"Giskard","AI testing & evaluation","Developer","Framework","AI testing, vulnerability scanning, evaluation","Open-source -> Enterprise","Growth","2026-07","No","Runtime protection, production deployment","Testing depth, evaluation rigor","Different stage (testing only)"
"Microsoft Purview AI Hub","AI governance","CISO","SaaS","Data governance, AI hub, compliance, Microsoft 365 integrated","Included in E5 ($57/user/mo)","Mature","2026-07","Yes (Azure regions)","Vendor independence, open-source","Platform integration, compliance","Platform threat (enterprise)"
"Nightfall AI","AI DLP","Developer/CISO","API, SaaS","PII scanning, secrets, file scanning, SaaS integration","Free -> Enterprise","Growth","2026-07","No","Open-source, India PII, runtime","Platform maturity","DLP competitor"
"Lasso Security","LLM security","Developer/CISO","SaaS","LLM security, prompt protection","Custom","Growth","2026-07","No","Open-source, breadth","Unknown","Low visibility"
"CalypsoAI","AI security gateway","CISO","Gateway","AI usage policies, content filtering, audit","Custom","Growth","2026-07","No","Open-source, India PII","Distribution, maturity","Low visibility"
"Zscaler AI Security","AI security (Zscaler)","CISO","Cloud platform","AI traffic inspection, DLP, CASB integration","Included in Zscaler platform","Mature","2026-07","Partial (through partners)","Open-source, India PII, agent security","Platform integration, zero-trust","Platform threat (enterprise)"
"Netskope AI","AI security (Netskope)","CISO","Cloud platform","AI usage visibility, DLP, threat protection","Included in Netskope platform","Mature","2026-07","Partial","Open-source, India PII","Platform integration","Platform threat (enterprise)"
"Snyk","AI code security","Developer","SaaS","Code scanning, dependency security, AI code review","Free -> Team $25/user/mo -> Enterprise","Mature","2026-07","No","IDE security, agent security","Brand, funding, distribution","Different category (AppSec)"
"GitGuardian","Secrets + AI security","Developer/Security","SaaS, self-hosted","Secrets detection, Infrastructure as Code, AI code scanning","Free -> Enterprise","Growth","2026-07","No","Runtime protection, agent security","Secrets detection depth, brand","Complementary tool"
