companyName,segment,priority,
Company1,AI_CHATBOT_AGENCY,BETA_AND_DEMO,
Company2,RAG_CHATBOT_BUILDER,BETA_AND_DEMO,
Company3,SMALL_SAAS_FOUNDER,BETA_AND_DEMO,
Company4,WORDSPRESS_WOOCOMMERCE_PROSPECT,BETA_AND_DEMO,
Company5,ENTERPRISE_SECURITY_TEAM,BETA_AND_DEMO,
Company6,AI_CHATBOT_AGENCY,DEMO,
Company7,RAG_CHATBOT_BUILDER,DEMO,
Company8,SMALL_SAAS_FOUNDER,DEMO,
Company9,WORDSPRESS_WOOCOMMERCE_PROSPECT,DEMO,
Company10,ENTERPRISE_SECURITY_TEAM,DEMO,
Company11,AI_CHATBOT_AGENCY,DEMO,
Company12,RAG_CHATBOT_BUILDER,DEMO,
Company13,SMALL_SAAS_FOUNDER,DEMO,
Company14,WORDSPRESS_WOOCOMMERCE_PROSPECT,DEMO,
Company15,ENTERPRISE_SECURITY_TEAM,DEMO,
Company16,AI_CHATBOT_AGENCY,FOLLOW_UP,
Company17,RAG_CHATBOT_BUILDER,FOLLOW_UP,
Company18,SMALL_SAAS_FOUNDER,FOLLOW_UP,
Company19,WORDSPRESS_WOOCOMMERCE_PROSPECT,FOLLOW_UP,
Company20,ENTERPRISE_SECURITY_TEAM,FOLLOW_UP,
