Capability,Customer Problem,Persona,Code Evidence,Test Evidence,Runtime Evidence,Maturity,Dependency,Limitation,Market Value
"Prompt injection detection","Chatbots leak control to attackers","Developer","lib/guard/detectors/promptInjectionDetector.ts (55+ patterns)","tests/guard.test.ts (35 passing tests)","API endpoint verified","8 - Runtime-verified","None","84% recall at 1% FPR (self-measured)","High - universal need"
"Jailbreak detection","Attackers bypass AI safety constraints","Developer","lib/guard/detectors/jailbreakDetector.ts","tests/guard/jailbreak-expanded.test.ts","Part of guard API","8 - Runtime-verified","None","May miss novel jailbreak patterns","High - universal need"
"India PII detection","India-specific PII leaking from apps","Developer/Compliance","lib/guard/detectors/indiaPiiDetector.ts","tests/guard.test.ts (Aadhaar/PAN/GSTIN/UPI/IFSC)","Part of guard API","8 - Runtime-verified","None","Only covers 5 India-specific types","High - India market differentiator"
"Generic PII detection","PII (email, phone) leaking from apps","Developer","lib/guard/detectors/piiDetector.ts","tests/guard.test.ts","Part of guard API","8 - Runtime-verified","None","Basic email/phone only","High - universal need"
"Secret detection","API keys, tokens, credentials leaking","Developer","lib/guard/detectors/secretsDetector.ts (20+ patterns)","tests/guard.test.ts (secret leak prevention)","Part of guard API","8 - Runtime-verified","None","No crypto wallet or custom format support","High - universal need"
"Secret redaction","Secrets returned in API responses","Developer","lib/guard/redactor.ts","tests/guard.test.ts (no matched values in findings)","Part of guard API","8 - Runtime-verified","None","","Critical - security requirement"
"Output exfiltration detection","AI model leaks data through responses","Developer","lib/guard/detectors/outputExfiltrationDetector.ts","tests/guard/output-exfiltration.test.ts","Part of guard API","7 - Integration-tested","None","Pattern-based, may miss novel channels","Medium - growing need"
"System prompt leak detection","Attacker extracts hidden system prompts","Developer","lib/guard/detectors/systemPromptLeakDetector.ts","tests/guard.test.ts (output leak detection)","Part of guard API","7 - Integration-tested","None","","Medium - specific attack"
"Unicode smuggling detection","Invisible Unicode hides attacks","Developer","lib/guard/detectors/promptInjectionDetector.ts (lines 73-80)","tests/guard/invisible-unicode-smuggling.test.ts","Part of guard API","7 - Integration-tested","None","","Medium - sophisticated attack"
"Hinglish/multilingual detection","Regional language attack surface","Developer","lib/guard/detectors/multilingualAttackDetector.ts","tests/guard/multilingual-hinglish-expanded.test.ts","Part of guard API","7 - Integration-tested","None","Hinglish only","Medium - India differentiator"
"SSRF detection","AI tools used to scan internal networks","Developer","lib/guard/detectors/ssrfDetector.ts","tests/ssrf-outbound-url.test.ts","Part of guard API","7 - Integration-tested","None","","Low - specific attack"
"Agent firewall","AI agents misuse tools (email, browser, terminal)","Developer","lib/agent-firewall/","tests/agent-firewall.test.ts (293 lines)","API endpoint verified","7 - Integration-tested","None","Tool matrix may not cover all tools","High - emerging category"
