Keyword,Intent,Funnel Stage,Target Persona,Recommended Page,Page Exists,Priority,Conversion Goal,Cluster,Difficulty,Cannibalisation Risk,Verified Volume,Notes
AI security platform,Commercial,Consideration,CISO/CTO,/llm-security,YES,P0,Signup / Demo,A,Very High,Homepage (medium),Unknown — GSC required,Broad brand term; homepage competes; /llm-security is better SEO target
LLM security platform,Commercial,Consideration,Security Engineer,/llm-security,YES,P0,Signup / Demo,A,High,None,Unknown — GSC required,Dedicated feature page exists
AI agent security,Commercial,Consideration,AI Developer,/ai-agent-security,YES,P0,Signup / Demo,C,Medium-High,None,Unknown — GSC required,Strong feature page; needs authority
prompt injection protection,Commercial,Consideration,Security Engineer,/prompt-injection-protection,YES,P0,Signup / Demo,B,Medium,None,Unknown — GSC required,Strong feature page; blog support exists
prompt injection detection,Commercial,Awareness,Security Engineer,/prompt-injection-protection,YES,P0,Signup / Demo,B,Medium,/prompt-injection-protection (same),Unknown — GSC required,Use as secondary keyword on same page
jailbreak detection,Commercial,Awareness,Security Engineer,/jailbreak-detection,YES,P0,Signup / Demo,B,Medium,None,Unknown — GSC required,Feature page exists
LLM firewall,Commercial,Consideration,Security Engineer,/llm-firewall,YES (needs audit),P1,Signup / Demo,B,Medium,/llm-security (low),Unknown — GSC required,Check /llm-firewall content quality
AI guardrails platform,Commercial,Consideration,CISO,/llm-security,YES,P1,Signup / Demo,A,High,Homepage (medium),Unknown — GSC required,Use as secondary keyword on /llm-security
enterprise AI security,Commercial,Consideration,CISO,/enterprise-ai-security,YES,P0,Enterprise Demo,A,High,/enterprise (medium),Unknown — GSC required,Feature page exists; /enterprise may compete
AI application security,Commercial,Consideration,CTO,/llm-security,YES,P1,Signup / Demo,A,High,Homepage (low),Unknown — GSC required,Secondary keyword for /llm-security
generative AI security platform,Commercial,Consideration,CISO,/enterprise-ai-security,YES,P1,Enterprise Demo,A,High,Homepage (low),Unknown — GSC required,Secondary keyword
AI security for developers,Commercial,Awareness,Developer,/vscode-ai-security,YES,P1,Signup / Extension,E,Medium,None,Unknown — GSC required,Blog post angle + feature page
RAG security,Commercial,Consideration,AI Developer,/rag-security,YES,P0,Signup / Demo,F,Medium,/docs/rag (medium),Unknown — GSC required,Feature page exists
RAG poisoning prevention,Commercial,Awareness,Security Engineer,/rag-security,YES,P1,Signup,F,Low,None,Unknown — GSC required,Secondary keyword for /rag-security
vector database security,Commercial,Awareness,AI Developer,/rag-security,YES,P1,Signup,F,Low,None,Unknown — GSC required,Secondary keyword for /rag-security
AI data leakage prevention,Commercial,Consideration,Security Engineer,/ai-data-leakage-prevention,YES,P0,Signup / Demo,D,Medium,None,Unknown — GSC required,Feature page exists
sensitive data protection for AI,Commercial,Awareness,Security Engineer,/ai-data-leakage-prevention,YES,P1,Signup,D,Medium,None,Unknown — GSC required,Secondary keyword
AI output security,Commercial,Awareness,Security Engineer,/llm-security,YES,P1,Signup,A/B,Medium,None,Unknown — GSC required,Add section to /llm-security
AI context firewall,Educational/Commercial,Consideration,Security Engineer,/blog/what-is-ai-context-firewall,YES,P1,Signup,D/C,Medium,None,Unknown — GSC required,Blog covers this well; consider product page
secret protection for AI coding tools,Commercial,Awareness,Developer,/vscode-ai-security,YES,P1,Extension Install,E,Low,None,Unknown — GSC required,Good long-tail for IDE guard page
AI prompt security,Commercial,Awareness,Developer,/prompt-injection-protection,YES,P1,Signup,B,Medium,None,Unknown — GSC required,Secondary keyword
MCP security,Commercial,Consideration,AI Developer,/mcp-security,YES,P0,Extension Install,C,Low,None,Unknown — GSC required,HIGHEST PRIORITY — nascent niche
model context protocol security,Commercial,Consideration,AI Developer,/mcp-security,YES,P0,Extension Install,C,Low,/mcp-security (same),Unknown — GSC required,Long-form variant of MCP security
MCP tool permissions,Commercial,Awareness,Developer,/mcp-security,YES,P1,Extension Install,C,Low,None,Unknown — GSC required,Secondary keyword
secure MCP servers,Commercial,Consideration,Developer,/mcp-security,YES,P1,Extension Install,C,Low,None,Unknown — GSC required,Secondary keyword
AI tool permission security,Commercial,Awareness,AI Developer,/mcp-security,YES,P1,Extension Install,C,Low,None,Unknown — GSC required,Secondary keyword
VS Code AI security extension,Commercial,BOFU,Developer,/vscode-ai-security,YES,P0,Extension Install,E,Low-Medium,None,Unknown — GSC required,Strong product page; Marketplace listing needed
Cursor security extension,Commercial,BOFU,Developer,/cursor-ai-security,MISSING,P1,Extension Install,E,Low,/vscode-ai-security (medium),Unknown — GSC required,CREATE PAGE
Windsurf security extension,Commercial,BOFU,Developer,/windsurf-ai-security,MISSING,P1,Extension Install,E,Low,/vscode-ai-security (medium),Unknown — GSC required,CREATE PAGE
protect secrets from AI coding assistants,Commercial,Awareness,Developer,/vscode-ai-security,YES,P1,Extension Install,E,Low,None,Unknown — GSC required,Good long-tail
prevent AI from reading environment variables,Commercial,Awareness,Developer,/vscode-ai-security,YES,P2,Extension Install,E,Low,None,Unknown — GSC required,Very specific long-tail
local AI security extension,Commercial,Awareness,Developer,/vscode-ai-security,YES,P1,Extension Install,E,Low,None,Unknown — GSC required,Secondary keyword
AI-generated code security scanner,Commercial,Awareness,Developer,/vscode-ai-security,YES,P2,Extension Install,E,Medium,None,Unknown — GSC required,Secondary keyword
n8n AI security,Commercial,Consideration,Developer,/integrations/n8n,MISSING,P1,Signup / Demo,G,Low,None,Unknown — GSC required,CREATE PAGE — low competition
Zapier AI security,Commercial,Consideration,Developer,/integrations/zapier,MISSING,P1,Signup / Demo,G,Low,None,Unknown — GSC required,CREATE PAGE — low competition
Make.com AI security,Commercial,Consideration,Developer,/integrations/make,MISSING,P1,Signup / Demo,G,Low,None,Unknown — GSC required,CREATE PAGE — low competition
AI workflow security,Commercial,Consideration,Developer,/ai-workflow-security,YES,P0,Signup / Demo,G,Medium,None,Unknown — GSC required,Feature page exists
AI agent workflow security,Commercial,Consideration,Developer,/ai-workflow-security,YES,P1,Signup,G,Medium,/ai-workflow-security (same),Unknown — GSC required,Secondary keyword
secure LLM integrations,Commercial,Consideration,Security Engineer,/llm-security,YES,P1,Signup,A,Medium,None,Unknown — GSC required,Secondary keyword for /llm-security
India PII detection,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P0,Signup / Demo,H,Low,Homepage (low),Unknown — GSC required,TOP OPPORTUNITY — thin competition
DPDP AI compliance,Commercial,Consideration,Legal/Compliance,/compliance/dpdp,MISSING,P1,Enterprise Demo,H,Low,None,Unknown — GSC required,CREATE PAGE — good India keyword
DPDP Act AI,Commercial,Awareness,Legal/Compliance,/ai-security-india,YES,P1,Signup,H,Low,/compliance/dpdp (low),Unknown — GSC required,Secondary keyword for India page
AI security India,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P0,Signup / Demo,H,Low,Homepage (low),Unknown — GSC required,TOP OPPORTUNITY
Aadhaar PII detection,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P1,Signup,H,Low,None,Unknown — GSC required,Unique to India market
GSTIN detection AI,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P2,Signup,H,Low,None,Unknown — GSC required,Very specific India long-tail
Indian AI compliance,Commercial,Consideration,Legal/Compliance,/ai-security-india,YES,P2,Enterprise Demo,H,Low,None,Unknown — GSC required,Secondary keyword
LLM security India,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P1,Signup,H,Low,None,Unknown — GSC required,Secondary keyword
chatbot security India,Commercial,Awareness,Security Engineer,/ai-security-india,YES,P2,Signup,H,Low,None,Unknown — GSC required,Secondary keyword
local-first AI security,Commercial,Awareness,Developer,/vscode-ai-security,YES,P1,Extension Install,E,Low,None,Unknown — GSC required,Secondary keyword
