Target Domain,Audience,Outreach Angle,Asset Required,Contact Role,Link Likelihood,Authority Relevance,Estimated Effort,Risk,Priority
marketplace.visualstudio.com,VS Code developers,Complete Marketplace listing for soterai-ide-guard,"Marketplace screenshots, demo GIF, description",SoterAI team (self-service),Very High,Very High,Low (2-4h),None,P0
npmjs.com,JavaScript developers,Complete npm package README with keywords and homepage,Full README + keywords,SoterAI team (self-service),Very High,High,Low (1-2h),None,P0
github.com,Developers,Ensure GitHub repo is public with proper topics and description,README + topics,SoterAI team (self-service),Very High,Very High,Low (1h),None,P0
producthunt.com,Startup/developer community,Launch SoterAI Guard on Product Hunt,"Demo GIF, product copy, screenshots",SoterAI team (self-service),High,High,Medium (4-6h),Community rejection if poorly prepared,P0
linkedin.com,Security/dev professionals,Create LinkedIn company page and post technical content regularly,Company profile + posts,SoterAI team (self-service),Very High,High,Low (1h setup),None,P0
cyberkendra.com,Security practitioners,Pitch for inclusion in Best MCP Security Tools 2026 article,"3 differentiators, benchmark link, free account offer",Editorial contact,Medium,Very High,Medium,None,P0
edgelabs.ai,Security engineers,Pitch for inclusion in AI agent security / MCP security roundups,"Product overview, demo, India PII angle",Editorial contact,Medium,Very High,Medium,None,P0
appsecsanta.com,Security developers,Pitch for inclusion in Best AI Security Tools 2026,"Product listing, free tier proof",Editorial contact,Medium-High,High,Low,None,P1
itwire.com,IT practitioners,Pitch for Best Agentic AI Security Companies (listed 8 — SoterAI should be 9+),"Company overview, detection benchmark",Editorial journalist,Medium,High,Medium,None,P1
generalanalysis.com,Security buyers,"Pitch for Best AI Security Platforms 2026, focus: self-hosted, free tier, India","Product comparison data, pricing transparency",Editorial contact,Medium,Very High,Medium,None,P1
community.n8n.io,n8n developers,Post tutorial: How to add SoterAI to n8n AI workflow,/integrations/n8n page + tutorial,Self-service post,High,High,Low (30min),None,P1
community.zapier.com,Zapier users,Post tutorial: How to secure Zapier AI actions with SoterAI,/integrations/zapier page + tutorial,Self-service post,High,High,Low (30min),None,P1
community.make.com,Make.com users,Post tutorial: SoterAI Make.com integration guide,/integrations/make page + tutorial,Self-service post,High,High,Low (30min),None,P1
dev.to,Developers,Republish blog posts with canonical URLs to soterai.in,All 8 blog posts + new posts,SoterAI team (self-service),High,High,Low (per post),None,P1
huggingface.co,AI researchers,Publish India PII synthetic benchmark dataset with Dataset Card,1000-row synthetic PII dataset,SoterAI team (self-service),Very High,Very High,Medium (2 days),None,P1
news.ycombinator.com,Senior developers,"Show HN: Local-first AI context firewall for VS Code/Cursor/Windsurf","Working product demo, clear value prop",SoterAI team (self-service),Medium,Very High,Low to post — high to prepare,Community rejection possible,P1
owasp.org,Security practitioners,Contribute to OWASP LLM Top 10 resources or wiki; submit detection benchmark,India PII benchmark dataset,OWASP project maintainers,Medium,Very High,Medium,Requires quality contribution,P1
futureagi.com,AI developers,Pitch for inclusion in Best AI Guardrails / Best AI Security Gateways articles,"Self-hosted differentiation, India PII, free tier",Editorial contact,Medium,High,Low,None,P2
nightfall.ai,Security teams,Contextual only — competitor awareness,N/A,Not applicable,None,None,None,None,P3
tl;dr sec newsletter,Security practitioners,Pitch: Local-first AI context firewall announcement or MCP security research,"Product summary, benchmark link",Newsletter editor,Medium,High,Low,None,P2
last-week-in-security,AI security community,Pitch: State of MCP Security 2026 research report,Research report,Newsletter curator,Medium,High,Low,None,P2
arxiv.org,Researchers,"Self-submit: India PII detection paper or MCP threat model paper — if sufficient original data","Full paper with methodology, data, results",SoterAI research team,Medium (if quality),Very High,Very High,Significant research effort required,P2
nullcon.net,Indian security practitioners,Submit CFP: India PII in LLM prompts or local-first AI security,Research + slides,SoterAI presenter,Medium,High,High (CFP 3-6mo lead),None,P2
c0c0n.in,Indian infosec,Submit CFP: AI context firewall architecture and threat model,Research + slides + demo,SoterAI presenter,Medium,High,High,None,P2
youtube.com,Developers/security,Upload demo video with proper title targeting VS Code AI security,5-min demo video,SoterAI team,Very High (traffic),High,Medium (3 days to produce),None,P1
