id,segment,organization,contact_role,why_fit,product_hook,channel,contact_detail,url,template,priority,verify,status
L01,Automation Platforms,n8n,Head of Community / Partnerships,"Your SoterGuard node already has 1,361 downloads/month — proven demand. Upsell to featured integration + co-marketing.","Only n8n node that blocks prompt injection + PII/Aadhaar leaks inside AI workflows","Community forum + contact form","community.n8n.io (already active there) + n8n.io contact form","https://n8n.io",T1,P1,verify before send,not_sent
L02,Automation Platforms,Activepieces,Founders (Ash/Abdul) / DevRel,"Open-source Zapier rival — they aggressively add new 'pieces'. SoterGuard as security piece = win.","Open-source piece + marketplace listing; they feature new pieces in changelog","GitHub issue + Discord + email","github.com/activepieces → discussions; discord.gg/activepieces","https://www.activepieces.com",T1,P1,verify before send,not_sent
L03,Automation Platforms,FlowiseAI,Founder (Henry Heng) / Core team,"Open-source LLM orchestration — users chain prompts with zero guardrails. Security node fits naturally.","Prompt-injection + PII guard node for chatflows; 79-language detection incl. Hinglish","Discord + GitHub","discord.gg/flowiseai; github.com/FlowiseAI/Flowise issues","https://flowiseai.com",T1,P1,verify before send,not_sent
L04,Automation Platforms,Dify,Partnerships / Marketplace team,"Dify has a plugin marketplace and huge Asia user base. Guardrails plugin slot exists.","Plugin: jailbreak + PII guard; India/Hinglish angle differentiates","Marketplace submission + email","dify.ai contact; GitHub langgenius/dify discussions","https://dify.ai",T1,P1,verify before send,not_sent
L05,Automation Platforms,Windmill,Founders / hello@,"Open-source workflow engine, dev-focused audience that cares about secrets handling.","Secret + PII leak prevention inside AI steps","Email + Discord","hello@windmill.dev (verify); Discord via windmill.dev","https://www.windmill.dev",T1,P2,verify before send,not_sent
L06,Automation Platforms,Pipedream,Partnerships,"Component marketplace; AI workflow builders need guardrails.","Security components for LLM steps","Partners form","pipedream.com/partners","https://pipedream.com",T1,P2,verify before send,not_sent
L07,Automation Platforms,Stack AI,Co-founders (Antoni/Bernard) via LinkedIn,"Enterprise AI workflows for finance/health — they NEED DLP story for their buyers.","Compliance-ready guard layer they can bundle","LinkedIn DM (Sunday 4-7pm IST)","LinkedIn: search 'Stack AI co-founder'","https://www.stack-ai.com",T1,P2,find on LinkedIn,not_sent
L08,Automation Platforms,Bardeen,Founder/BD via LinkedIn,"Browser automation scrapes page context into prompts — classic leak vector.","Browser-side DLP before data enters prompts","LinkedIn + hello form","bardeen.ai contact","https://www.bardeen.ai",T1,P2,find on LinkedIn,not_sent
L09,Automation Platforms,Gumloop,Founders via LinkedIn/X,"Fast-growing AI automation; guardrails = differentiation for them.","One-click guardrail node","X/Twitter DM","@gumloop founders (search X)","https://www.gumloop.com",T1,P3,find on X,not_sent
L10,Automation Platforms,Relay.app,Founder (Jacob Bank) via LinkedIn,"Human-in-the-loop first product — aligned with agent approval gates.","Agent action approval integration","LinkedIn DM","LinkedIn: Jacob Bank","https://www.relay.app",T1,P3,find on LinkedIn,not_sent
